name,value,label
BPOTBEB1,000,bpost bank
GEBABEBB,001,BNP Paribas Fortis
GEBABEBB,002,BNP Paribas Fortis
GEBABEBB,003,BNP Paribas Fortis
GEBABEBB,004,BNP Paribas Fortis
GEBABEBB,005,BNP Paribas Fortis
GEBABEBB,006,BNP Paribas Fortis
GEBABEBB,007,BNP Paribas Fortis
GEBABEBB,008,BNP Paribas Fortis
GEBABEBB,009,BNP Paribas Fortis
GEBABEBB,010,BNP Paribas Fortis
GEBABEBB,011,BNP Paribas Fortis
GEBABEBB,012,BNP Paribas Fortis
GEBABEBB,013,BNP Paribas Fortis
GEBABEBB,014,BNP Paribas Fortis
GEBABEBB,015,BNP Paribas Fortis
GEBABEBB,016,BNP Paribas Fortis
GEBABEBB,017,BNP Paribas Fortis
GEBABEBB,018,BNP Paribas Fortis
GEBABEBB,019,BNP Paribas Fortis
GEBABEBB,020,BNP Paribas Fortis
GEBABEBB,021,BNP Paribas Fortis
GEBABEBB,022,BNP Paribas Fortis
GEBABEBB,023,BNP Paribas Fortis
GEBABEBB,024,BNP Paribas Fortis
GEBABEBB,025,BNP Paribas Fortis
GEBABEBB,026,BNP Paribas Fortis
GEBABEBB,027,BNP Paribas Fortis
GEBABEBB,028,BNP Paribas Fortis
GEBABEBB,029,BNP Paribas Fortis
GEBABEBB,030,BNP Paribas Fortis
GEBABEBB,031,BNP Paribas Fortis
GEBABEBB,032,BNP Paribas Fortis
GEBABEBB,033,BNP Paribas Fortis
GEBABEBB,034,BNP Paribas Fortis
GEBABEBB,035,BNP Paribas Fortis
GEBABEBB,036,BNP Paribas Fortis
GEBABEBB,037,BNP Paribas Fortis
GEBABEBB,038,BNP Paribas Fortis
GEBABEBB,039,BNP Paribas Fortis
GEBABEBB,040,BNP Paribas Fortis
GEBABEBB,041,BNP Paribas Fortis
GEBABEBB,042,BNP Paribas Fortis
GEBABEBB,043,BNP Paribas Fortis
GEBABEBB,044,BNP Paribas Fortis
GEBABEBB,045,BNP Paribas Fortis
GEBABEBB,046,BNP Paribas Fortis
GEBABEBB,047,BNP Paribas Fortis
GEBABEBB,048,BNP Paribas Fortis
GEBABEBB,049,BNP Paribas Fortis
GKCCBEBB,050,BELFIUS BANK
GKCCBEBB,051,BELFIUS BANK
GKCCBEBB,052,BELFIUS BANK
GKCCBEBB,053,BELFIUS BANK
GKCCBEBB,054,BELFIUS BANK
GKCCBEBB,055,BELFIUS BANK
GKCCBEBB,056,BELFIUS BANK
GKCCBEBB,057,BELFIUS BANK
GKCCBEBB,058,BELFIUS BANK
GKCCBEBB,059,BELFIUS BANK
GKCCBEBB,060,BELFIUS BANK
GKCCBEBB,061,BELFIUS BANK
GKCCBEBB,062,BELFIUS BANK
GKCCBEBB,063,BELFIUS BANK
GKCCBEBB,064,BELFIUS BANK
GKCCBEBB,065,BELFIUS BANK
GKCCBEBB,066,BELFIUS BANK
GKCCBEBB,067,BELFIUS BANK
GKCCBEBB,068,BELFIUS BANK
GKCCBEBB,069,BELFIUS BANK
GKCCBEBB,070,BELFIUS BANK
GKCCBEBB,071,BELFIUS BANK
GKCCBEBB,072,BELFIUS BANK
GKCCBEBB,073,BELFIUS BANK
GKCCBEBB,074,BELFIUS BANK
GKCCBEBB,075,BELFIUS BANK
GKCCBEBB,076,BELFIUS BANK
GKCCBEBB,077,BELFIUS BANK
GKCCBEBB,078,BELFIUS BANK
GKCCBEBB,079,BELFIUS BANK
GKCCBEBB,080,BELFIUS BANK
GKCCBEBB,081,BELFIUS BANK
GKCCBEBB,082,BELFIUS BANK
GKCCBEBB,083,BELFIUS BANK
GKCCBEBB,084,BELFIUS BANK
GKCCBEBB,085,BELFIUS BANK
GKCCBEBB,086,BELFIUS BANK
GKCCBEBB,087,BELFIUS BANK
GKCCBEBB,088,BELFIUS BANK
GKCCBEBB,089,BELFIUS BANK
GKCCBEBB,090,BELFIUS BANK
GKCCBEBB,091,BELFIUS BANK
GKCCBEBB,092,BELFIUS BANK
GKCCBEBB,093,BELFIUS BANK
GKCCBEBB,094,BELFIUS BANK
GKCCBEBB,095,BELFIUS BANK
GKCCBEBB,096,BELFIUS BANK
GKCCBEBB,097,BELFIUS BANK
GKCCBEBB,098,BELFIUS BANK
GKCCBEBB,099,BELFIUS BANK
NBBEBEBB,100,Nationale Bank van België
NBBEBEBB,101,Nationale Bank van België
NICABEBB,103,Crelan
NICABEBB,104,Crelan
NICABEBB,105,Crelan
NICABEBB,106,Crelan
NICABEBB,107,Crelan
NICABEBB,108,Crelan
CTBKBEBX,109,Beobank
CTBKBEBX,110,Beobank
ABERBE22,111,ABK Bank
CTBKBEBX,113,Beobank
CTBKBEBX,114,Beobank
CTBKBEBX,119,Beobank
CTBKBEBX,120,Beobank
CTBKBEBX,121,Beobank
CTBKBEBX,122,Beobank
CTBKBEBX,123,Beobank
CTBKBEBX,124,Beobank
CPHBBE75,125,Banque CPH
CPHBBE75,126,Banque CPH
CTBKBEBX,127,Beobank
CTBKBEBX,129,Beobank
CTBKBEBX,131,Beobank
BNAGBEBB,132,Bank Nagelmackers
CTBKBEBX,133,Beobank
CTBKBEBX,134,Beobank
GEBABEBB,137,BNP Paribas Fortis
GEBABEBB,140,BNP Paribas Fortis
GEBABEBB,141,BNP Paribas Fortis
GEBABEBB,142,BNP Paribas Fortis
GEBABEBB,143,BNP Paribas Fortis
GEBABEBB,144,BNP Paribas Fortis
GEBABEBB,145,BNP Paribas Fortis
GEBABEBB,146,BNP Paribas Fortis
GEBABEBB,147,BNP Paribas Fortis
GEBABEBB,148,BNP Paribas Fortis
GEBABEBB,149,BNP Paribas Fortis
BCMCBEBB,150,Bancontact - Mister Cash NV/SA
CPHBBE75,171,Banque CPH
RABOBE23,172,Coöperatieve Rabobank U.A.
RABOBE23,173,Coöperatieve Rabobank U.A.
BSCHBEBR,176,Banco Santander
BSCHBEBR,177,Banco Santander
COBABEBX,178,Commerzbank
COBABEBX,179,Commerzbank
BARBBEBB,183,Bank of Baroda
