name,value,label
PRDVESM1,0241,"A&G Banca Privada, S.A."
INBBESM1,0113,"Banco Industrial de Bilbao, S.A."
CECAESMM,2086,"Banco Grupo Cajatres, S.A."
INVLESMM,0232,"Banco Inversis, S.A."
FIOFESM1,0220,"Banco Finantia Sofinloc, S.A."
GBMNESMM,0487,"Banco Mare Nostrum, S.A."
GALEES2G,0046,"Banco Gallego, S.A."
BFASESMM,0488,"Banco Financiero y de Ahorros, S.A."
ETCHES2G,0031,"Banco Etcheverría, S.A."
BEDFESM1,0184,"Banco Europeo de Finanzas, S.A."
BVADESMM,0057,"Banco Depositario BBVA, S.A."
FIEIESM1,0225,"Banco Cetelem, S.A."
CCOCESMM,0234,"Banco Caminos, S.A."
BCOEESMM,0198,"Banco Cooperativo Español, S.A."
ESPCESMM,0030,"Banco Español de Crédito, S.A."
VOWAES21,1480,"Volkswagen Bank GmbH, S.E."
UNOEESM1,0227,"Unoe Bank, S.A."
UCJAES2M,2103,"Unicaja Banco, S.A."
BBVAESMM,2107,"UNNIM Banc, S.A"
UBIBESMM,1524,"UBI Banca International, S.A., S.E."
TRIOESMM,1491,"Triodos Bank, N.V., S.E."
CMCIESMM,0216,"Targobank, S.A."
UBSWESMM,0226,"UBS Bank,S.A."
BOTKESMX,0160,"The Bank of Tokyo-Mitsubishi UFJ, Ltd., S.E."
ABNAESMM,0156,"The Royal Bank of Scotland plc, S.E."
SELFESMM,1490,"Self Trade Bank, S.A."
BSSSESM2,0038,"Santander Securities Services,S.A. (formerly Banesto Banco de Emisiones,S.A.)"
SABNESMM,0036,"Santander Investment, S.A."
SOGEESMM,0108,"Société Genérale, S.E."
LOYIESMM,0236,"Sabadell Solbank, S.A. (formerly Lloyds Bank International S.A)"
BCOEESMM,3138,"Ruralnostra. S.C.C.Valenciana (formerly Caja R. de Betxi, S.C.C.V.)"
RENBESMM,0083,"RENTA 4 Banco, S.A"
SCFBESMM,0224,"Santander Consumer Finance, S.A."
POPIESMM,0233,"Popular Banca Privada, S.A."
BVALESMM,0094,"RBC Inverstors Services España, S.A."
WELAESMM,0196,"Portigon AG, S.E."
PRVBESB1,0200,"Privat Bank Degroof, S.A."
OPENESMM,0073,"Open Bank, S.A."
BESMESMM,0131,"Novo Banco, S.A., S.E. (formerly Banco Espírito Santo, S.A., S.E.)"
MLCBESM1,1506,"Merrill Lynch International Bank Limited, S.E."
NATXESMM,1479,"Natixis, S.A., S.E."
CECAESMM,2048,"Liberbank, S.A"
BASKES2B,2095,"Kutxabank, S.A."
BCITESMM,1494,"Intesa Sanpaolo S.P.A., S.E."
ICROESMM,1000,Instituto de Crédito Oficial
CHASESM3,0151,"Jpmorgan Chase Bank National Association, S.E."
BBRUESMX,0168,"ING Belgium, S.A., S.E."
CAZRES2Z,2085,"Ibercaja Banco, S.A."
GEECESB1,0223,"General Electric Capital Bank, S.A."
EHYPESMX,1467,"Hypothekenbank Frankfurt A.G., S.E."
