name,value,label
ABCOFRPP,18979,ABC international bank plc
PARBFRPH,41329,BNP Paribas securities services
BNPARERX,41919,BNP Paribas Réunion
BNPAFRPL,15668,BNP Paribas home loan SFH
BNPAFRPS,16078,BNP Paribas Public Sector SCF
BNPAGPGX,13088,BNP Paribas Martinique
BNPAGFGX,11729,BNP Paribas Guyane
EUROFRPP,40238,VTB Bank (France) S.A. (formerly VTB Bank S.A)
VFFFFRP1,12558,VFS Finance France
VOWAFR21,15128,Volkswagen bank GmbH
BNPAGPGX,13078,BNP Paribas Guadeloupe
UFIFFRP1,19570,Union financière de France banque
BNPAFRPP,30004,BNP Paribas
UBAFFRPP,43899,Union de banques arabes et françaises - U.B.A.F.
UTUBFRPP,43849,Tunisian foreign bank
TRFIFR21,22910,Transolver Finance S.a.
UNCRFRPP,13528,Unicredit SpA
UBSWFRPP,30758,UBS (France) S.A.
SYGMFRP1,26310,Sygma banque
SWILFRP1,11238,SwissLife banque privée (formerly SwissLife banque)
HANDFRPP,14568,Svenska handelsbanken AB (publ)
BOTKFRCC,41249,The Bank of Tokyo - Mitsubishi UFJ Ltd
ABNAFRPP,18739,The royal bank of Scotland plc
SBINFRPP,18329,State bank of India
SMBCFRPP,15250,Sumitomo Mitsui banking corporation Europe limited
SBOSFRP1,11518,State street banque S.A.
SOFRFRPP,18230,Sofiprotéol
SFAXFRPP,19460,Sofax banque
SMCTFR2A,30077,Société marseillaise de crédit
SORMFR2N,12280,Socram banque
SODIRER1,17439,Société financière pour le développement de la Réunion (S.O.F.I.D.E.R.)
SGFOGPG1,18900,Société guadeloupéenne de financement - Soguafi
SFPMFRP1,14378,Société financière du porte-monnaie électronique interbancaire
SOGEGPGP,18079,Société générale de banque aux Antilles
SOGEFRPP,30003,Société générale
SOIEFR21,12500,Société de financement de la meunerie
SEBXFRP1,17679,Société de banque et d'expansion - S.B.E. (2ème du nom)
IVSTFRP1,19000,Société auxiliaire d'études et d'investissements mobiliers - Investimo
SXFRFRP1,15868,Saxo banque (France)
GSCFFR22,15968,Société Générale SCF
SMFSMQM1,18890,SOMAFI-SOGUAFI (formerly Société Martiniquaise De Financement - Somafi)
RCBPFRPP,18669,Rothschild et compagnie banque
DISFFRPP,15298,RBC Investor services bank France SA (formerly RBC Dexia investor services bank France SA)
RCINFRPP,11188,RCI Banque
QNBAFRPP,17919,Qatar national bank
SIFBFRP1,43789,Quilvest banque privée (formerly Banque Privée Quilvest)
PICTFRPP,15068,Pictet & Cie (Europe) SA (formerly Pictet et Cie (Europe) SA)
ODDOFRCP,45850,Oddo et cie
NEGRFRP1,12198,Newedge group
NBPAFRPP,14139,National bank of Pakistan
NBOKFRPP,41639,National bank of Kuwait (International) plc
NBADFRPP,17989,"National bank of Abu Dhabi (formerly National Bank of Abu Dhabi, Paris Branch)"
MOFAFRP1,15658,MoneyGram France
MONNFR21,14690,Monabanq.
MONTFRPP,30478,Monte Paschi banque S.A.
NATXFRPP,30007,Natixis
CAVNFR21,16989,Mobilis banque (formerly Cavabanque)
MRLAFRP1,15920,Merrill Lynch capital markets (France) SAS
DFSDFR22,10550,Mercedes-Benz financial services France S.A. (formerly Daimlerchrysler services france s.a.)
MHCBFRPP,18529,Mizuho bank ltd Paris branch (formerly Mizuho Corporate Bank Limited Paris Branch)
ICBCFRPP,18789,"Mega international commercial bank Co, Ltd"
EPLOAAFR,10800,Locam - Location automobiles matériels (formerly Locam - Location automobiles matériel S.A.S.)
LCNDFRP1,12549,Locindus S.A.
LAZPFRCC,30748,Lazard frères banque
CONOFRP1,11230,Laser cofinoga
KUTXFR21,12518,Kutxabank SA (formerly Caja de ahorros y monte de piedad de guipuzcoa y san sebastian - kutxa)
PSSTFRPP,20041,La Banque Postale
KBLXMCMC,13338,Kb luxembourg (monaco)
KBLXFRPP,19069,KBL Richelieu banque privée
KREDFRPP,27800,"KBC bank (formerly KBC Bank N.V., Succursale Francaise)"
ISBKFRPP,13688,Isbank AG (formerly Isbank gmbh)
BCITFRPP,10128,Intesa Sanpaolo SpA
CHASFRPP,30628,"JPMorgan Chase bank, National Association"
IGREFRP1,15518,ING real estate finance (France)
INLFFRP1,11248,Ing lease france s.a.
IIDFFR21,14559,ING Direct N.V.
IFFIFR21,13678,IFN Finance S.A.
ICBKFRPP,11833,Industrial and commercial bank of China (Europe) SA - ICBC (Europe) SA
IBFFFR21,16030,IBM France financement
INGBFRPP,30438,"ING Bank NV (formerly ING Belgium SA, succursale en France)"
EHYPFRP1,14148,Hypothekenbank Frankfurt AG (formerly Deutsche hyp deutsche hypothekenbank frankfurt-hamburg ag)
HABBFRPP,18289,Habib bank limited
ELFAFRP1,13888,HSBC Factoring (France) (formerly Elysées Factor)
HEEFFRP1,11720,HSBC Epargne entreprise (France)
CCFRFRPP,30056,HSBC France
GPBAFRPP,18370,Groupama banque (2ème du nom)
MIDLFRCP,18059,HSBC bank plc
GOLDFRP1,14040,Goldman Sachs Paris Inc et Cie
LEGRFRP1,14120,GRESHAM Banque (formerly Legal & general bank (france))
MOEYFRPP,42799,GE Money bank
GMACFR21,17839,GMAC Banque
FACFFRPP,13580,GE Factofrance
CAOUFRP1,10008,GE Capital équipement finance
CODFFRP1,11818,GE Commercial distribution finance S.A.
CRFAFRPP,15168,GE Corporate finance bank . (formerly GE Corporate finance bank S.A.S.)
FRAFFRPP,18689,Fransabank France S.A.
FBNIFRPP,15798,FBN bank (UK) Ltd
XPARFRPP,15000,Euronext paris s.a.
EXADFRPP,17973,Exane derivatives
ARABFRPP,17979,Europe arab bank PLC
ELBAFRPP,42959,Electro banque
ECOCFRPP,16048,Ebi SA
EFGBFRPP,16198,EFG banque privée
COFIFRCP,42529,Edmond de Rothschild (France) (formerly La Compagnie Financière Edmond de Rothschild Banque)
CLBQFRCC,13148,Dexia CLF Banque
CLFRFRCC,17290,Dexia crédit local
DLFSFR21,15648,Deutsche leasing France
LLLSFRP1,11678,De Lage Landen leasing S.A.S.
CRMPFRP1,15208,Crédit municipal de Paris
CRLYFRPP,30002,Crédit lyonnais (formerly Le Credit Lyonnais)
CMCIFRCP,15589,Crédit mutuel Arkéa
CRLGFRP1,19230,Crédit logement
CRESFRPZ,13428,Crédit suisse AG (formerly Crédit suisse)
CRESFRPP,18169,Crédit suisse (Luxembourg) S.A. (formerly Crédit suisse (France))
CMCIFRCP,30066,Crédit industriel et commercial - CIC (formerly Credit Industriel et Commercial)
DEUTFRPP,17789,Deutsche bank AG (formerly Deutsche bank ag)
CIRNFR21,12308,Crédit immobilier de France Nord
CRFLFR21,16640,Crédit financier lillois
CDMAFRPX,11778,Crédit du Maroc
