name,value,label
ANMEGB21XXX,ANME,Anz Bank (Europe) Limited
ANTSGB2LCHA,ANTS,Chaps Contingency
ANTSGB2LDOC,ANTS,Documentary Credits And Guarantees
ANTSGB2LTSY,ANTS,Alm
ANTSGB2LXXX,ANTS,Abbey National Treasury Services Plc
ANFPGB21EQD,ANFP,Equity Deriviatives Operations
ANFPGB21XXX,ANFP,Abbey National Treasury Services Plc
ANTSGB2LGBM,ANTS,Alm
ANTSGB2LGTB,ANTS,Trade
ARNBGB2LXXX,ARNB,Arab National Bank
ARBUGB2LXXX,ARBU,"Arbuthnot Latham And Co., Limited"
AIBKGB2XTSY,AIBK,Group Treasury
AIBKGB2XXXX,AIBK,Allied Irish Bank Plc.
ALBLGB2LXXX,ALBL,Alpha Bank London Limited
CRBAGB2LXXX,CRBA,Alpha Bank Ae London Branch
AIBKGB2LXXX,AIBK,Allied Irish Bank (Gb) (Aib Group (Uk) P.L.C. T/A)
ALTSGB21XXX,ALTS,Alliance Trust Savings
ALLFGB2LXXX,ALLF,Allfunds Bank
ALDBGB21XXX,ALDB,Aldermore Bank Plc
AIRDGB21XXX,AIRD,Airdrie Savings Bank
GOINGB21XXX,GOIN,Aib Collective Investment Schemes Limited
GOIMGB21XXX,GOIM,Aib Investment Management Limited
UBKLGB2LBAK,UBKL,Baker St. Branch
UBKLGB2LXXX,UBKL,Ahli United Bank (Uk) Plc
ABOCGB2LXXX,ABOC,Agricultural Bank Of China (Uk) Limited
ABDIGB2LXXX,ABDI,Adib (Uk) Ltd
ADAGGB2SXXX,ADAG,Adam And Company Plc
ABCEGB2LXXX,ABCE,Abc International Bank Plc
ABSAGB2LXXX,ABSA,Absa Bank Limited
PASCGB2LXXX,PASC,Banca Monte Dei Paschi Di Siena Spa - London Branch
BBVAGB2LXXX,BBVA,Banco Bilbao Vizcaya Argentaria S.A
BMARGB2LXXX,BMAR,"Banca March, S.A"
BOFAGB2ULTS,BOFA,Loans Trade Support
BOFAGB2USBL,BOFA,Basl Securities Stock Loan
BOFAGB2UXXX,BOFA,Banc Of America Securities Limited
CABOGB2LXXX,CABO,Banca Imi S.P.A.
AXISGB2LXXX,AXIS,Axis Bank Uk Limited
MORLGB2LXXX,MORL,Aviva Investors Global Services Limited
MORLGB2LSMK,MORL,Stock-lending
ANZBGB2LXXX,ANZB,Main Branch
BJSBGB2XXXX,BJSB,"Bank J. Safra (Gibraltar) Limited, London Branch"
BPPBGB2LXXX,BPPB,Bank Insinger De Beaufort Nv
INDOGB21XXX,INDO,Bank Indonesia
POALGB2LXXX,POAL,London Branch
POALGB2LMAN,POAL,Manchester Branch
BNIFGB2LXXX,BNIF,"Banif - Banco Internacional Do Funchal, S.A"
BKKBGB2LXXX,BKKB,Bangkok Bank Public Company Limited
TOTAGB2LXXX,TOTA,Banco Santander Totta S.A
BSCHGB2LEQU,BSCH,Equities
BSCHGB2LXXX,BSCH,Banco Santander S.A.
BSABGB2LXXX,BSAB,Banco De Sabadell S.A
VRBPGB2LXXX,VRBP,Banco Popolare
BESCGB2LXXX,BESC,Banco Espirito Santo
BRASGB2LXXX,BRAS,Banco Do Brasil S.A
COMMGB2LXXX,COMM,Bank Of Communications (Uk) Limited
BKCHGB2UXXX,BKCH,Bank Of China (Uk) Limited
BCEYGB2LXXX,BCEY,Bank Of Ceylon (Uk) Ltd
BRBAGB2LXXX,BRBA,Bank Of Beirut (Uk) Ltd
BOFAGB22SCP,BOFA,Structured Credit Products
BOFAGB22CLS,BOFA,Continuous Linked Settlement Department
BOFAGB22LTS,BOFA,Loans Trade Support
BOFAGB22SEC,BOFA,Security Operations
BOFAGB22XXX,BOFA,Main Branch
BOFAGB22BND,BOFA,Fixed Income Debt Settlements
BOFAGB22COL,BOFA,"Bank Of America, N.A. London"
BOFAGB22EQN,BOFA,Equity Derivatives
BOFAGB22GRC,BOFA,Global Derivatives And Foreign Exchange
BOFAGB22TSY,BOFA,"Treasury, Ba Emerging Markets"
BOFAGB22VAM,BOFA,Managed Transaction Banking Services
BKCHGB2LXXX,BKCH,Bank Of China
BARBGB2LBIR,BARB,Bank Of Baroda
BARBGB2LILF,BARB,Ilford Branch
BARBGB2LLEI,BARB,Leicester Branch
BARBGB2LKEN,BARB,Kenton Branch
BARBGB2LKIL,BARB,Aldgate East Branch
BARBGB2LTOO,BARB,Tooting Branch
BARBGB2LWEM,BARB,Wembley Branch
BARBGB2LXXX,BARB,Bank Of Baroda
BARBGB2LMAN,BARB,Manchester Branch
BARBGB2LSOU,BARB,Southall Branch
BOFAGB3SSWI,BOFA,Re Swi Processing
BOFAGB4TCCD,BOFA,Gss Common Depository
BOFAGB4TCDO,BOFA,Gss Cdo
BOFAGB4TIPA,BOFA,Gss Issuing And Paying Agency
BOFAGB4TLFS,BOFA,Gss Fund Services Europe
BOFAGB4TLTR,BOFA,Gss London
MSSAGB21XXX,MSSA,Bank Morgan Stanley Ag
BNINGB2LXXX,BNIN,"Bank Negara Indonesia (Persero) P.T., London Branch"
BMRIGB2LXXX,BMRI,Bank Mandiri (Europe) Limited
LUMIGB22WES,LUMI,West End Branch
LUMIGB22XXX,LUMI,Bank Leumi (Uk) Plc
IRTRGB21XXX,IRTR,Bank Of Ireland Trustee Company Limited
IRFMGB21XXX,IRFM,Bank Of Ireland Fund Managers Limited
IRCFGB21XXX,IRCF,Bank Of Ireland Corporate Finance Limited
IRAMGB21XXX,IRAM,Bank Of Ireland Asset Management (U.K.) Limited
BOFIGB2BXXX,BOFI,Bank Of Ireland (Uk) Plc
BKENGB2LCON,BKEN,Bank Of England
BKENGB2LMKT,BKEN,Bank Of England
BKENGB2LPWC,BKEN,Threadneedle Street
BKENGB2LXXX,BKEN,Bank Of England
BKENGB33CUS,BKEN,Bank Of England
BKENGB33RTN,BKEN,Chaps Euro Return Office
BKENGB33TSY,BKEN,Bank Of England
BKENGB33XXX,BKEN,Bank Of England
BKENGB54XXX,BKEN,Bank Of England
BKENGB24XXX,BKEN,Bank Of England
BKENGBC1XXX,BKEN,Bank Of England
BKENGBE1XXX,BKEN,Bank Of England
BKIDGB2LBIR,BKID,Bank Of India
BKIDGB2LGLA,BKID,Bank Of India
BKIDGB2LLEI,BKID,Bank Of India
BKIDGB2LEAS,BKID,Bank Of India
BKIDGB2LWEM,BKID,Bank Of India
BKIDGB2LXXX,BKID,Bank Of India
BKIDGB2LMAN,BKID,Bank Of India
BEASGB2LXXX,BEAS,"Bank Of East Asia Ltd, The"
HAVLGB2LXXX,HAVL,Banque Havilland S.A.
BARCGB22BEL,BARC,Barclays Bank Plc
BARCGB22CLM,BARC,Barclays Bank Plc
BARCGB22CLS,BARC,Cls Operations Centre
BARCGB22PMD,BARC,Capital Commodities
BARCGB22TRD,BARC,London International Operations
BARCGB22XXX,BARC,All U.K. Offices
BARCGB2102A,BARC,Barclays Bank Plc
BARCGB2102B,BARC,Barclays Bank Plc
BARCGB2102C,BARC,Market Place
BARCGB2102D,BARC,Barclays Bank Plc
BARCGB2102E,BARC,St. Georges Street
BARCGB2102G,BARC,Barclays Bank Plc
BARCGB2102H,BARC,Barclays Bank Plc
BARCGB2102J,BARC,Colmore Row
BARCGB2102K,BARC,Edgbaston
BARCGB2102L,BARC,Uk Trade Services Centre
BARCGB2102M,BARC,North Staffordshire Group Of Branches
BARCGB2102N,BARC,Northern International Operations Centre
BARCGB2102P,BARC,Barclays Bank Plc
BARCGB2102S,BARC,Barclays Bank Plc
BOTKGB2EXXX,BOTK,"Bank Of Tokyo-Mitsubishi Ufj Ltd., The"
BOTKGB2LXXX,BOTK,London Branch
SEPBGB2LXXX,SEPB,Bank Sepah International Plc
BSPLGB2LXXX,BSPL,Bank Saderat Plc
BOPIGB2LXXX,BOPI,Bank Of The Philippine Islands (Europe) Plc
BOFSGB22XXX,BOFS,Treasury
BOFSGB22GLW,BOFS,Treasury
BOFSGB2SXXX,BOFS,All Uk Offices
BOFSGB3ERTN,BOFS,Chaps Euro Return Office
BOFSGB3EXXX,BOFS,Bank Of Scotland Plc
BOFSGB2LXXX,BOFS,London Branch
BOFSGB21001,BOFS,Edinburgh Tollcross (801130
BOFSGB21002,BOFS,Edinburgh Shandwick Place
BOFSGB21003,BOFS,Edinburgh Fairmilehead (801114
BOFSGB21004,BOFS,Edinburgh Frederick St
BOFSGB21005,BOFS,Edinburgh Comely (801105
BOFSGB21006,BOFS,Central Recovery Management
BOFSGB21007,BOFS,Aberdeen Tullos
BOFSGB21008,BOFS,Edinburgh Tollcross
BOFSGB21009,BOFS,Glasgow Queen St
BOFSGB21010,BOFS,Dumfries
BOFSGB21011,BOFS,Head Office-syndications
BOFSGB21012,BOFS,Edinburgh St Andrew Square
BOFSGB21013,BOFS,Tarbert (harris) (800983
BOFSGB21014,BOFS,Tarbert Argyll
BOFSGB21015,BOFS,Strathaven
BOFSGB21016,BOFS,Stornoway
NOSCGB22MOC,NOSC,Scotiamocatta
NOSCGB22XXX,NOSC,Bank Of Nova Scotia
BOFMGB2XCLS,BOFM,Cls Payments Only
BOFMGB2XXXX,BOFM,Bank Of Montreal
BLMEGB2LFND,BLME,Bank Of London And The Middle East Plc
BLMEGB2LXXX,BLME,Bank Of London And The Middle East Plc
BLBGGB2LB01,BLBG,Beta Test Bic
BLBGGB2LB02,BLBG,Beta Test Bic
BLBGGB2LFIT,BLBG,Fixed Income Trading
BLBGGB2LP01,BLBG,Production Demo Bic
BLBGGB2LP02,BLBG,Production Demo Bic
BLBGGB2LP03,BLBG,Production Demo Bic
BLBGGB2LR01,BLBG,Payment Reconciliation
BLBGGB2LXXX,BLBG,Bloomberg Lp
BLBGGB3LXXX,BLBG,Bloomberg Lp
BLBGGB2LA01,BLBG,Alpha Test Bic
BLBGGB2LB03,BLBG,Beta Test Bic
BLBGGB2LB04,BLBG,Beta Test Bic
BLBGGB3LFXG,BLBG,Bloomberg Lp
BLBGGB3LMMF,BLBG,Mutual Fund Trading
BLOMGB2LXXX,BLOM,Blom Bank France
BHPBGB2LSAP,BHPB,1sap
BHPBGB2LTRY,BHPB,Treasury
BHPBGB2LXXX,BHPB,Bhp Billiton Finance Plc
BHPBGB2LRSA,BHPB,Bhp Billiton Finance Plc
CFILGB3LCAP,CFIL,Bgc Brokers L.P.
CFILGB3LXXX,CFIL,Bgc Brokers L.P.
CFILGB3LARL,CFIL,Bgc Aurel
BYLAGB22XXX,BYLA,Bayerische Landesbank
BYLAGB2LETS,BYLA,European Trade Services
BARCGB33XXX,BARC,Barclays Capital (Trading As Barclays Capital Securities Ltd And Barclays Bank Plc)
BAMLGB2LXXX,BAML,Baring Asset Management Limited
BAMLGB3LAFB,BAML,As Branch
BAMLGB3LFCB,BAML,Baring Asset Management Limited
BAMLGB3LHKM,BAML,Baring Asset Management Limited
BAMLGB3LLBT,BAML,Baring Asset Management Limited
BAMLGB3LSCB,BAML,Baring Asset Management Limited
BAMLGB3LTAI,BAML,Baring Asset Management Limited
BAMLGB3LTFL,BAML,Baring Asset Management Limited
BAMLGB3LUPL,BAML,As Branch
BAMLGB3LXXX,BAML,Baring Asset Management Limited
BAMLGB2LFXS,BAML,Foreign Exchange
BAURGB21XXX,BAUR,Barclays Bank Trust Company Limited
BARCGB5GXXX,BARC,Barclays Bank Plc Wholesale
LJSOGB2LXXX,LJSO,Butterfield Bank (Uk) Limited
BYBBGB2LXXX,BYBB,Byblos Bank Europe S.A. (London Branch)
BSCOGB2LXXX,BSCO,"Brown,Shipley And Co. Ltd."
CNETGB2LCMK,CNET,Broadridge City Networks (Uk) Ltd
CNETGB2LXXX,CNET,Broadridge City Networks (Uk) Ltd
CNETGB2LCMJ,CNET,Broadridge City Networks (Uk) Ltd
BACMGB2LXXX,BACM,British Arab Commercial Bank Plc
HNADGB2LCOR,HNAD,Corporate Actions
HNADGB2LXXX,HNAD,Bnp Paribas Securities Services
PARBGB2LALO,PARB,Agency Lending Operations
PARBGB2LISI,PARB,Global Custody
PARBGB2LXXX,PARB,"Bnp Paribas Securities Services, United Kingdom"
PARBGB2L3CM,PARB,"Securities Services, Intellimatch"
PARBGB2LCAM,PARB,Bnp Paribas Securities Services
PARBGB2LGCS,PARB,Gcs / Global Clearing And Settlement
PARBGB2LITI,PARB,"Bnp Paribas Securities Services, United Kingdom"
BNPAGB22CIT,BNPA,Commodities London
BNPAGB22EQD,BNPA,Eqd Multi Entity
BNPAGB22PBG,BNPA,Bnp Paribas London Branch
BNPAGB22XXX,BNPA,Bnp Paribas London Branch
BNPAGB22AGY,BNPA,Gecd Bnpp Arbitrage
BNPAGB22LIM,BNPA,Liquidity Mgt 60m
BMEUGB21XXX,BMEU,Bmce Euroservices
MEDTGB2LXXX,MEDT,Bmce Bank International Plc
CAGFGB22XXX,CAGF,Cargill Global Funding Plc
CAGFGB22INC,CAGF,Cargill Global Funding Plc
CAFMGB22TSF,CAFM,Tsf
CAFMGB22XXX,CAFM,Cargill Financial Services Europe Limited
CAFMGB22CMS,CAFM,Cargill Financial Services Europe Limited
CAFMGB22BRA,CAFM,Cargill Financial Services Europe Limited
CAFMGB22CAN,CAFM,Cargill Financial Services Europe Limited
CAFMGB22CMH,CAFM,Cargill Financial Services Europe Limited
CAFMGB22CMM,CAFM,Cargill Financial Services Europe Limited
CAFMGB22TC3,CAFM,Cargill Financial Services Europe Limited
CFEQGB2LBKO,CFEQ,Cantor Fitzgerald Europe
CFEQGB2LXXX,CFEQ,Cantor Fitzgerald Europe
CAFLGB21XXX,CAFL,Cantor Fitzgerald Europe
CFEQGB21DCM,CFEQ,Cantor Fitzgerald Europe
CFEQGB2LADM,CFEQ,Cantor Fitzgerald Europe
CNRBGB2LXXX,CNRB,Canara Bank
CIBCGB2LXXX,CIBC,Canadian Imperial Bank Of Commerce
POYRGB21XXX,POYR,Cambridge & Counties Bank Limited
CLAOGB2LAJB,CLAO,Aj Bell
CLAOGB2LAON,CLAO,Aon
CLAOGB2LART,CLAO,Artemis
CLAOGB2LASC,CLAO,Ascentric
CLAOGB2LATT,CLAO,Attrax
CLAOGB2LAVI,CLAO,Aviva Investors
CLAOGB2LAXF,CLAO,Calastone Ltd
CLAOGB2LAXM,CLAO,Axa Im
CLAOGB2LAXS,CLAO,Calastone Ltd
CLAOGB2LBDC,CLAO,Bordier And Co
CLAOGB2LBGI,CLAO,Calastone Ltd
CLAOGB2LBGR,CLAO,Calastone Ltd
CLAOGB2LBOF,CLAO,Barings Offshore
CLAOGB2LBON,CLAO,Barings Onshore
CLAOGB2LBPP,CLAO,Calastone Ltd
CLAOGB2LBRW,CLAO,Calastone Ltd
CLAOGB2LCAM,CLAO,Close Asset Management
CLAOGB2LCAN,CLAO,Calastone Ltd
CLAOGB2LCAP,CLAO,Capital International
CLAOGB2LCCO,CLAO,Citco
CGDIGB2LXXX,CGDI,Caixa Geral De Depositos
CAFBGB21XXX,CAFB,Caf Bank Ltd
HOABGB2LXXX,HOAB,C. Hoare And Co.
CITTGB2LCMU,CITT,Central Account Maintenance Unit
CITTGB2LELA,CITT,European Loans Agency
CITTGB2LPBG,CITT,Private Banking Group
CITTGB2LXXX,CITT,Citibank International Plc
CTPRGB21XXX,CTPR,Citibank International Plc
CITIGB2LCOM,CITI,Commodities
CITIGB2PABA,CITI,Citi Outsourcing Aba
CITIGB2PBEA,CITI,Ias-sg Middle Office-cs
CITIGB2PCAM,CITI,Ias-sg Middle Office-cs
CITIGB2PESM,CITI,Citi Outsourcing Esm
