name,value,label
SOGEITMMXXX,03593,Société Générale
BCPTITNNXXX,05142,Banca di Credito Popolare
CRADITRRTES,03283,Sedicibanca Spa
ALETITMMXXX,03102,Aletti & C Banca di Investimento Mobiliare Spa
BKRAITMMXXX,03589,Allianz Bank Financial Advisors S.P.A.
ICRAITMMGB0,08587,BCC Valdostana Cooperative De Credit Valdotaine Società Cooperativa
ICRAITMMRN0,08995,BCC Valmarecchia nei Comuni di Rimini e Verucchio Soc. Cooperativa
ICRAITMMIS0,08676,BCC del Garda BCC Colli Morenici del Garda Società Cooperativa
ICRAITMM950,08329,BCC dell'Alta Brianza Alzate Brianza Scrl
ICRAITMMEQ0,08530,BCC di Alba Langhe e Roero Società Cooperativa
ICRAITRRA20,08362,BCC di Arborea Società Cooperativa
CRACIT33XXX,08425,BCC di Cambiano Scrl
CRCBIT22XXX,08440,BCC di Carate Brianza Società Cooperativa
GATEITMMXXX,08453,BCC di Carugate Società Cooperativa
BCCDIT3CXXX,08461,BCC di Castagneto Carducci Società Cooperativa per Azioni
ICRAITMM5Y0,08214,BCC di Cernusco sul Naviglio Società Cooperativa
ICRAITRRDJ0,08487,BCC di Cherasco Società Cooperativa
BCCFIT33XXX,08562,BCC di Fornacette Scrl
ICRAITMMH60,08618,BCC di Lezzeno Scrl
RUAMIT22XXX,08631,BCC di Manzano Società Cooperativa
ICRAITMMKF0,08735,BCC di Pompiano e della Franciacorta Società Cooperativa
ROMAITRRXXX,08327,BCC di Roma Società Cooperativa
ICRAITRRMP0,08817,BCC di San Marzano di San Giuseppe Società Cooperativa
ICRAITMMO1Z,08865,BCC di Sesto San Giovanni Società Cooperativa
POPRIT3RXXX,05036,Banca Agricola Popolare di Ragusa Società Cooperativa per Azioni
AKROITMMXXX,03045,Banca Akros Spa
ANTBIT2PXXX,05040,Banca Antonveneta S.P.A.
SARCIT2SXXX,06305,Banca CR di Savigliano Spa
CRGEITGGXXX,06175,Banca Carige Spa
CRRNIT2RXXX,06285,Banca Carim CR di Rimini Spa
BPALIT34XXX,06245,Banca Caripe Spa
ESPEITMMXXX,03183,Banca Esperia Spa
FIBKITMMXXX,03296,Banca Fideuram Spa
FNATITRRXXX,03087,Banca Finnat Euramerica Spa
BGENIT2TXXX,03075,Banca Generali Spa
IFISIT2VXXX,03205,Banca Ifis Spa
BIMTITTTXXX,03043,Banca Intermobiliare di Investimenti e Gestioni Spa
BIREIT31XXX,03330,Banca Interregionale Spa
MEDBITMMXXX,03062,Banca Mediolanum Spa
BMPRIT2PXXX,06930,Banca Monte Parma Spa
PASCITMMXXX,01030,Banca Monte dei Paschi di Siena Spa
BNLIITRRXXX,01005,Banca Nazionale del Lavoro S.P.A.
PDCCIT2PXXX,08429,Banca Padovana Credito Cooperativo S. C.
PASBITGGXXX,03332,Banca Passadore & C Spa
SENVITT1XXX,03211,Banca Patrimoni Sella & C. S.P.A.
BPPNIT2PXXX,05336,Banca Popolare Friuladria Spa
BPPUIT33XXX,05262,Banca Popolare Pugliese Società Cooperativa per Azioni
PSANIT3PXXX,05772,Banca Popolare Sant'Angelo
BPVMIT2RXXX,05792,Banca Popolare Valconca Scrl
POCAIT3CXXX,05372,Banca Popolare del Cassinate Società Cooperativa per Azioni
BPFRIT31XXX,05297,Banca Popolare del Frusinate Società Cooperativa per Azioni
BPLZIT3VXXX,05104,Banca Popolare del Lazio Società Cooperativa
BPAAIT2BXXX,05856,Banca Popolare dell'Alto Adige Scpa
BPMOIT22XXX,05387,Banca Popolare dell'Emilia Romagna Soc. Coop.
PDSCIT31XXX,05029,Banca Popolare dell'Etna Società Cooperativa
ARBAIT33XXX,05390,Banca Popolare dell'Etruria e del Lazio Società Cooperativa
BPBAIT3BXXX,05424,Banca Popolare di Bari Società Cooperativa per Azioni
POCSIT31XXX,05496,Banca Popolare di Cortona Società Cooperativa per Azioni
BPALIT22XXX,05228,Banca Popolare di Crema Spa
BPALIT2CXXX,05512,Banca Popolare di Cremona Spa
POFOIT3FXXX,05296,Banca Popolare di Fondi Società Cooperativa
BLJAIT3LXXX,05232,Banca Popolare di Lajatico Società Cooperativa per Azioni
BPALITMLXXX,05164,Banca Popolare di Lodi S.P.A.
BPALIT2MXXX,05204,Banca Popolare di Mantova Spa
POMAIT2VXXX,05572,Banca Popolare di Marostica Scparl
BPMIITMMXXX,05584,Banca Popolare di Milano Scrl
NVRBIT2NXXX,05608,Banca Popolare di Novara Spa
BPDMIT3BXXX,05385,Banca Popolare di Puglia e Basilicata Società Cooperativa per Azioni
POSOIT22XXX,05696,Banca Popolare di Sondrio Società Cooperativa per Azioni
BPSPIT3SXXX,05704,Banca Popolare di Spoleto Spa
VRBPIT2VXXX,05188,Banca Popolare di Verona - S. Geminiano e S. Prospero S.P.A.
BPVIIT22XXX,05728,Banca Popolare di Vicenza Società Cooperativa per Azioni
PROFITMM001,03025,Banca Profilo Spa
PROSITN1XXX,03265,Banca Promos Spa
BRTOITTTXXX,03138,Banca Reale Spa
BSTOITT1XXX,03177,Banca Sai Spa
SELBIT22XXX,03311,Banca Sella Holding Spa
BCALIT22XXX,03064,Banca Sella Nordest Bovio Calderari Spa
SELBIT2BXXX,03268,Banca Sella Spa
BRDGIT33XXX,03049,Banca Sella Sud Arditi Galati S.P.A.
UBAIITRRXXX,03598,Banca Ubae Spa
