name,value,label
ABLVLULL,369,ABLV Bank Luxembourg S.A.
BTGBLULL,385,"Banco BTG Pactual, Luxembourg Branch"
BMARLU2M,368,"Banca March, S.A., Luxembourg Branch"
BBDELULL,133,Banco Bradesco Europa S.A.
BPMOLULS,298,Banca Popolare dell'Emilia Romagna (Europe) International S.A.
BSILLULX,320,BSI Europe S.A. (formerly BSI Luxembourg S.A.)
ITAULULL,291,Banco Itaú Europa Luxembourg S.A.
BEMOLULL,372,BEMO EUROPE - BANQUE PRIVEE
BHAHLUL1,095,"BHW Bausparkasse Aktiengesellschaft, Hameln (Allemagne), succursale de Luxembourg (formerly BHW Bausparkasse Aktiengesellschaft, succursale de Luxembourg)"
BHFBLULA,330,"BHF-BANK Aktiengesellschaft, Niederlassung Luxemburg"
BHFBLULL,049,BHF-BANK International
BGFWLUL1,108,"Wüstenrot Bausparkasse AG, Ludwigsburg (Allemagne), succursale de Luxembourg (formerly Wüstenrot Bausparkasse AG, Niederlassung Luxemburg)"
PARBLULL,328,"BNP Paribas Securities Services, succursale de Luxembourg (formerly BNP Paribas Securities Services, Paris (France), succursale de Luxembourg)"
BGLLLULL,003,BGL BNP Paribas
VPBVLULL,183,VP Bank (Luxembourg) SA
BNPALULS,149,"BNP Paribas, Paris (France), succursale de Luxembourg (formerly BNP Paribas, succursale de Luxembourg)"
DBSALULL,038,Union Bancaire Privée (Europe) S.A.
CABILULL,301,UBI Banca International S.A.
HYVELULL,047,UniCredit Luxembourg S.A.
UNCRLULL,158,UniCredit International Bank (Luxembourg) SA
SGWLLULX,269,"The Bank of New York Mellon (International) Ltd., Luxembourg Branch"
UBSWLULL,070,UBS (Luxembourg) S.A.
ABNALULL,389,"The Royal Bank of Scotland Plc, Luxembourg Branch"
TDWLLULL,324,TD Bank International S.A.
IRVTLULX,310,The Bank of New York Mellon (Luxembourg) S.A.
HANDLULL,110,Svenska Handelsbanken S.A.
HANDLULB,229,"Svenska Handelsbanken AB (Publ), Stockholm (Suède), succursale de Luxembourg (formerly Svenska Handelsbanken AB (Publ), Luxembourg Branch)"
STBCLULL,146,Sumitomo Mitsui Trust Bank (Luxembourg) S.A.
SNCILUL1,104,Société Nationale de Crédit et d'Investissement
SBOSLULX,202,State Street Bank Luxembourg S.C.A. (formerly State Street Bank Luxembourg S.A.)
SBOSLULX,358,"State Street Bank GmbH, Zweigniederlassung Luxemburg"
ESSELULL,064,Skandinaviska Enskilda Banken S.A.
NIKOLULL,080,SMBC Nikko Bank (Luxembourg) S.A.
SOPPLULX,363,Sal. Oppenheim jr. & Cie Luxembourg S.A.
SGABLULL,019,Societe Generale Bank & Trust S.A.
SGDILULL,378,Société Générale Financing and Distribution
RCBLLULL,384,"RCB BANK LTD, Luxembourg branch"
ABNALULL,355,RBS Global Banking (Luxembourg) S.A.
PPLXLULL,351,"PayPal (Europe) S.à r.l. et Cie, S.C.A."
PICTLULX,198,Pictet & Cie (Europe) S.A.
BESCLULL,388,"Novo Banco S.A., Succursale de Luxembourg"
CNORLULX,336,"Northern Trust Global Services Ltd, London (Royaume-Uni), Luxembourg Branch (formerly Northern Trust Global Services Ltd, Luxembourg Branch)"
NBLXLULL,204,Nomura Bank (Luxembourg) S.A.
FETALULL,341,RBC Investor Services Bank S.A.
BPLULULL,197,Natixis Bank
NDEALULL,092,Nordea Bank S.A.
MHTBLULL,181,Mizuho Trust & Banking (Luxembourg) SA
MIRALULL,381,Mirabaud & Cie (Europe) S.A.
MEOILUL1,342,MEDIOBANCA INTERNATIONAL (LUXEMBOURG)S.A. (formerly MEDIOBANCA INTERNATIONAL (LUXEMBOURG) S.A.)
NOLALULL,051,NORD/LB Luxembourg S.A. Covered Bond Bank (formerly Norddeutsche Landesbank Luxembourg S.A.)
MUGCLUL2,077,Mitsubishi UFJ Investor Services and Banking (Luxembourg) S.A. (formerly Mitsubishi UFJ Global Custody S.A.)
WBWCLULL,058,M.M. Warburg & CO Luxembourg S.A.
NCFBLUL1,345,NORD/LB COVERED FINANCE BANK S.A.
BELALULL,100,Landesbank Berlin International S.A.
BELALULX,241,"Landesbank Berlin AG, Niederlassung Luxemburg"
LOCYLULL,370,Lombard Odier (Europe) S.A.
MALALULB,153,Landesbank Baden-Württemberg Luxemburg Branch
MALALULL,106,LBBW Luxemburg S.A.
KBLXLULL,013,KBL European Private Bankers S.A.
JODELUL1,317,John Deere Bank S.A.
BEGOLUL1,173,"Joh. Berenberg, Gossler & Co - Berenberg Bank -, Hamburg (Allemagne), succursale de Luxembourg (formerly Joh. Berenberg, Gossler & Co-Berenberg Bank-, succursale de Luxembourg)"
CELLLULL,014,ING Luxembourg
ICBKLULL,316,"Industrial and Commercial Bank of China Ltd., Pékin (République Populaire de Chine), Luxembourg Branch (formerly Industrial and Commercial Bank of China Ltd., Luxembourg Branch)"
IKBDLUL1,144,"IKB Deutsche Industriebank A.G., Filiale Luxemburg (formerly IKB Deutsche Industriebank A.G., Düsseldorf und Berlin (Allemagne), Filiale Luxemburg)"
ICBKLULU,348,"Industrial and Commercial Bank of China (Europe) S.A., en abrégé ICBC (Europe) S.A."
HAUKLULL,376,"Hauck & Aufhäuser Privatbankiers KGaA, Niederlassung Luxemburg (formerly Hauck & Aufhäuser Banquiers Luxembourg S.A.)"
HSHNLULL,097,HSH Nordbank Securities S.A.
SEBKLULL,087,Intesa Sanpaolo Bank Luxembourg S.A. (formerly Société Européenne de Banque S.A.)
HSHNLULB,164,"HSH Nordbank A.G., Kiel (Allemagne), succursale de Luxembourg (formerly HSH Nordbank A.G. Luxembourg Branch)"
BBDALULX,167,HSBC Securities Services (Luxembourg) S.A.
TUBDLULL,094,HSBC Trinkaus & Burkhardt (International) S.A.
CHASLULX,067,J.P. Morgan Bank Luxembourg S.A.
TGBALULL,271,"Garanti Bank, Istanbul (Turquie), succursale de Luxembourg (formerly Garanti Bank (Luxembourg Branch))"
