branch_name,swift_code
Azl Nv,AZLHNL2HXXX
Asr Bank N.V.,ASRBNL2RXXX
Attijariwafa Bank Europe Netherlands,BCMANL2AXXX
Asn Bank,ASNBNL21XXX
Aramco Overseas Company B.V.,ARAMNL2AXXX
Treasury Center Inz 8005,ABPTNL2HAAA
Apg Algemene Pensioen Groep Nv,ABPTNL2HAAB
Treasury Center Inz 8004,ABPTNL2HAAC
Treasury Center Inz 8006,ABPTNL2HAAD
Apg Algemene Pensioen Groep Nv,ABPTNL2HAOS
Apg Algemene Pensioen Groep Nv,ABPTNL2HAOT
Apg Algemene Pensioen Groep Nv,ABPTNL2HLOS
Apg Algemene Pensioen Groep Nv,ABPTNL2HLOT
Apg Algemene Pensioen Groep Nv,ABPTNL2HXXX
Anthos Bank B.V.,ANHHNL21XXX
Ant Trust And Corporate Services N.V.,ANTTNL2AXXX
Anadolubank Nederland N.V.,ANDLNL2AXXX
Amsterdam Trade Bank N.V.,ATBANL2AXXX
Amsterdam Trade Bank N.V.,STOLNL2AXXX
Akzo Nobel N.V.,AKZONL2AXXX
Aegon Nv,AENVNL2GXXX
Aegon Bank N.V.,KNABNL2HXXX
Aegon Bank N.V.,AEGONL2UXXX
Achmea Retail Bank N.V.,ARBNNL22XXX
Achmea Hypotheek Bank,AHBKNL2GXXX
Abn Amro Clearing Bank N.V.,ABNCNL2AXXX
Fund Processing,ABNCNL2AFND
Abnc B And Amp.ld,ABNCNL2ASBL
Aacb Entity Routing: Asia Pacific,ABNCNL2ASYD
Abn Amro Bank N.V. (Formely Known As Fortis Bank (Nederland) N.V.),FTSBNL2RXXX
Fbgc,FTSBNL2RABA
Fbgc,FTSBNL2RFLO
Aacb,FTSBNL2RGET
Aacb,FTSBNL2RGOL
Fbgc,FTSBNL2RIMC
Fbgc,FTSBNL2RMAD
Fbgc,FTSBNL2RNYE
Fbgc,FTSBNL2ROPT
Aacb,FTSBNL2RSPI
Aacb,FTSBNL2RSUN
Aacb,FTSBNL2RTIB
Asset And Liability Management Support,ABNANL2AALC
Abn Amro Bank N.V.,ABNANL2AMEL
Abn Amro Bank N.V.,ABNANL2AWSS
Abn Amro Bank N.V.,ABNANL2AXXX
Agency Services,ABNANL2AAGS
Markets Nl Department,ABNANL2AMAR
Euroclear Nederland Retail,ABNANL2ARET
Abn Amro Bank N.V.,ABNANL2ASOB
Abn Amro Bank N.V.,ABNANL2RXXX
Lc Clearnet,ABNANL2ACOL
Abb Finance B.V.,ABBCNL2AXXX
Asr Verzekeringen Nederland N.V,FTSINL2UXXX
Delta Lloyd Asset Management,DLIMNL2AXXX
Daimler International Finance B.V.,DAIXNL2XXXX
Credit Europe Bank N.V.,FBHLNL2AXXX
Commerzbank Ag Kantoor Amsterdam,COBANL2XTAM
Commerzbank Ag Kantoor Amsterdam,COBANL2XXXX
Coca-Cola Hbc Finance B.V.,CCHBNL2AXXX
Bg Confirmations,CCHBNL2A424
Infopool Services,CITINL2XCB2
Restricted Use Citibank Amsterdam Target 2,CITINL2XSEC
Restricted Use Citibank Amsterdam Target 2,CITINL2XTFT
Citibank International Plc Netherlands Branch,CITINL2XXXX
Citco Bank Nederland N.V.,CITCNL2AXXX
Cggveritas Services Holding B.V.,CGGVNL2AXXX
Bnp Paribas Securities Services,PARBNL31XXX
Ceva Logistics Finance B.V.,CEVLNL22XXX
Bnp Paribas S.A. - The Netherlands Branch,BNPANL2AXXX
Bnp Paribas S.A. - The Netherlands Branch,BNPANL2HXXX
Binckbank N.V.,BICKNL2AXXX
Professional Services,BICKNL21PRF
Binckbank N.V.,BINKNL21XXX
